,,,,,,,,m,L,G,K,dT,T,,,,,,,,,,,,
Time,Alpha,Sx,Sy,Ep,Ek,Ec,,2kg,1m,-9.81,0.1,0.01s,4s,,,,,,,,,,,,
0,0.785,0.707,-0.707,5.747,0.005,5.751,,,,,,,,,,,,,,,,,,,
0.01,0.785,0.707,-0.708,5.737,0.019,5.756,,,,,,,,,,,,,,,,,,,
0.02,0.783,0.706,-0.709,5.718,0.043,5.761,,,,,,,,,,,,,,,,,,,
0.03,0.781,0.704,-0.71,5.689,0.077,5.766,,,,,,,,,,,,,,,,,,,
0.04,0.778,0.702,-0.712,5.651,0.12,5.77,,,,,,,,,,,,,,,,,,,
0.05,0.775,0.7,-0.714,5.603,0.172,5.775,,,,,,,,,,,,,,,,,,,
0.06,0.771,0.697,-0.717,5.546,0.233,5.78,,,,,,,,,,,,,,,,,,,
0.07,0.766,0.693,-0.721,5.48,0.304,5.784,,,,,,,,,,,,,,,,,,,
0.08,0.761,0.689,-0.724,5.406,0.383,5.789,,,,,,,,,,,,,,,,,,,
0.09,0.754,0.685,-0.729,5.322,0.471,5.793,,,,,,,,,,,,,,,,,,,
0.1,0.747,0.68,-0.733,5.23,0.567,5.798,,,,,,,,,,,,,,,,,,,
0.11,0.74,0.674,-0.739,5.13,0.672,5.802,,,,,,,,,,,,,,,,,,,
0.12,0.732,0.668,-0.744,5.022,0.784,5.806,,,,,,,,,,,,,,,,,,,
0.13,0.723,0.662,-0.75,4.907,0.903,5.81,,,,,,,,,,,,,,,,,,,
0.14,0.713,0.654,-0.756,4.784,1.03,5.814,,,,,,,,,,,,,,,,,,,
0.15,0.703,0.647,-0.763,4.655,1.163,5.818,,,,,,,,,,,,,,,,,,,
0.16,0.692,0.638,-0.77,4.519,1.303,5.821,,,,,,,,,,,,,,,,,,,
0.17,0.681,0.63,-0.777,4.377,1.448,5.825,,,,,,,,,,,,,,,,,,,
0.18,0.669,0.62,-0.784,4.229,1.599,5.828,,,,,,,,,,,,,,,,,,,
0.19,0.656,0.61,-0.792,4.077,1.755,5.832,,,,,,,,,,,,,,,,,,,
0.2,0.643,0.6,-0.8,3.919,1.915,5.835,,,,,,,,,,,,,,,,,,,
0.21,0.629,0.589,-0.808,3.758,2.08,5.838,,,,,,,,,,,,,,,,,,,
0.22,0.615,0.577,-0.817,3.593,2.247,5.84,,,,,,,,,,,,,,,,,,,
0.23,0.6,0.565,-0.825,3.425,2.418,5.843,,,,,,,,,,,,,,,,,,,
0.24,0.584,0.552,-0.834,3.255,2.591,5.846,,,,,,,,,,,,,,,,,,,
0.25,0.568,0.538,-0.843,3.083,2.765,5.848,,,,,,,,,,,,,,,,,,,
0.26,0.552,0.524,-0.852,2.91,2.941,5.85,,,,,,,,,,,,,,,,,,,
0.27,0.534,0.509,-0.861,2.736,3.116,5.852,,,,,,,,,,,,,,,,,,,
0.28,0.517,0.494,-0.869,2.562,3.292,5.854,,,,,,,,,,,,,,,,,,,
0.29,0.499,0.478,-0.878,2.389,3.467,5.856,,,,,,,,,,,,,,,,,,,
0.3,0.48,0.462,-0.887,2.217,3.64,5.858,,,,,,,,,,,,,,,,,,,
0.31,0.461,0.445,-0.896,2.048,3.812,5.859,,,,,,,,,,,,,,,,,,,
0.32,0.441,0.427,-0.904,1.881,3.98,5.861,,,,,,,,,,,,,,,,,,,
0.33,0.421,0.409,-0.912,1.717,4.145,5.862,,,,,,,,,,,,,,,,,,,
0.34,0.401,0.39,-0.921,1.557,4.306,5.863,,,,,,,,,,,,,,,,,,,
0.35,0.38,0.371,-0.929,1.402,4.462,5.864,,,,,,,,,,,,,,,,,,,
0.36,0.359,0.352,-0.936,1.252,4.612,5.865,,,,,,,,,,,,,,,,,,,
0.37,0.338,0.331,-0.943,1.109,4.757,5.866,,,,,,,,,,,,,,,,,,,
0.38,0.316,0.311,-0.951,0.971,4.895,5.866,,,,,,,,,,,,,,,,,,,
0.39,0.294,0.29,-0.957,0.841,5.026,5.867,,,,,,,,,,,,,,,,,,,
0.4,0.271,0.268,-0.963,0.718,5.149,5.867,,,,,,,,,,,,,,,,,,,
0.41,0.249,0.246,-0.969,0.604,5.264,5.868,,,,,,,,,,,,,,,,,,,
0.42,0.226,0.224,-0.975,0.498,5.37,5.868,,,,,,,,,,,,,,,,,,,
0.43,0.203,0.201,-0.98,0.401,5.467,5.868,,,,,,,,,,,,,,,,,,,
0.44,0.179,0.178,-0.984,0.314,5.554,5.868,,,,,,,,,,,,,,,,,,,
0.45,0.156,0.155,-0.988,0.237,5.631,5.868,,,,,,,,,,,,,,,,,,,
0.46,0.132,0.132,-0.991,0.17,5.698,5.868,,,,,,,,,,,,,,,,,,,
0.47,0.108,0.108,-0.994,0.114,5.754,5.868,,,,,,,,,,,,,,,,,,,
0.48,0.084,0.084,-0.996,0.069,5.799,5.868,,,,,,,,,,,,,,,,,,,
0.49,0.06,0.06,-0.998,0.035,5.833,5.868,,,,,,,,,,,,,,,,,,,
0.5,0.036,0.036,-0.999,0.013,5.855,5.868,,,,,,,,,,,,,,,,,,,
0.51,0.012,0.012,-1,0.001,5.867,5.868,,,,,,,,,,,,,,,,,,,
0.52,-0.013,-0.013,-1,0.002,5.866,5.868,,,,,,,,,,,,,,,,,,,
0.53,-0.037,-0.037,-0.999,0.013,5.854,5.868,,,,,,,,,,,,,,,,,,,
0.54,-0.061,-0.061,-0.998,0.036,5.831,5.868,,,,,,,,,,,,,,,,,,,
0.55,-0.085,-0.085,-0.996,0.071,5.796,5.868,,,,,,,,,,,,,,,,,,,
0.56,-0.109,-0.109,-0.994,0.117,5.751,5.868,,,,,,,,,,,,,,,,,,,
0.57,-0.133,-0.133,-0.991,0.174,5.694,5.868,,,,,,,,,,,,,,,,,,,
0.58,-0.157,-0.156,-0.988,0.242,5.626,5.868,,,,,,,,,,,,,,,,,,,
0.59,-0.181,-0.18,-0.984,0.32,5.548,5.868,,,,,,,,,,,,,,,,,,,
0.6,-0.204,-0.203,-0.979,0.408,5.46,5.868,,,,,,,,,,,,,,,,,,,
0.61,-0.228,-0.226,-0.974,0.506,5.362,5.868,,,,,,,,,,,,,,,,,,,
0.62,-0.251,-0.248,-0.969,0.614,5.254,5.868,,,,,,,,,,,,,,,,,,,
0.63,-0.274,-0.27,-0.963,0.731,5.138,5.869,,,,,,,,,,,,,,,,,,,
0.64,-0.296,-0.292,-0.956,0.856,5.013,5.869,,,,,,,,,,,,,,,,,,,
0.65,-0.319,-0.313,-0.95,0.989,4.881,5.87,,,,,,,,,,,,,,,,,,,
0.66,-0.341,-0.334,-0.942,1.129,4.741,5.87,,,,,,,,,,,,,,,,,,,
0.67,-0.363,-0.355,-0.935,1.277,4.595,5.871,,,,,,,,,,,,,,,,,,,
0.68,-0.384,-0.375,-0.927,1.43,4.442,5.872,,,,,,,,,,,,,,,,,,,
0.69,-0.405,-0.394,-0.919,1.589,4.284,5.873,,,,,,,,,,,,,,,,,,,
0.7,-0.426,-0.413,-0.911,1.753,4.121,5.874,,,,,,,,,,,,,,,,,,,
0.71,-0.446,-0.432,-0.902,1.921,3.954,5.876,,,,,,,,,,,,,,,,,,,
0.72,-0.466,-0.449,-0.893,2.093,3.784,5.877,,,,,,,,,,,,,,,,,,,
0.73,-0.486,-0.467,-0.884,2.268,3.611,5.878,,,,,,,,,,,,,,,,,,,
0.74,-0.505,-0.483,-0.875,2.445,3.435,5.88,,,,,,,,,,,,,,,,,,,
