Time,Aplha,Sx,Sy,Ep,Ek,Ec
0,70.686,1,0,-19.62,0.038,-19.582
0.01,70.684,1,-0.002,-19.582,0.154,-19.428
0.02,70.68,1,-0.006,-19.505,0.346,-19.158
0.03,70.674,1,-0.012,-19.389,0.616,-18.773
0.04,70.666,1,-0.02,-19.235,0.962,-18.273
0.05,70.656,1,-0.029,-19.043,1.385,-17.658
0.06,70.645,0.999,-0.041,-18.812,1.885,-16.927
0.07,70.631,0.998,-0.055,-18.543,2.461,-16.082
0.08,70.615,0.998,-0.071,-18.236,3.113,-15.122
0.09,70.598,0.996,-0.088,-17.891,3.842,-14.049
0.1,70.578,0.994,-0.108,-17.508,4.645,-12.863
0.11,70.556,0.992,-0.129,-17.088,5.523,-11.565
0.12,70.533,0.988,-0.152,-16.632,6.474,-10.157
0.13,70.507,0.984,-0.177,-16.139,7.497,-8.642
0.14,70.48,0.979,-0.204,-15.612,8.59,-7.022
0.15,70.451,0.973,-0.233,-15.051,9.751,-5.3
0.16,70.42,0.965,-0.263,-14.457,10.977,-3.48
0.17,70.386,0.956,-0.295,-13.833,12.265,-1.568
0.18,70.351,0.945,-0.328,-13.18,13.611,0.431
0.19,70.315,0.932,-0.363,-12.501,15.01,2.509
0.2,70.276,0.917,-0.399,-11.798,16.457,4.659
0.21,70.235,0.9,-0.436,-11.075,17.946,6.871
0.22,70.193,0.881,-0.473,-10.335,19.471,9.136
0.23,70.149,0.859,-0.512,-9.581,21.022,11.441
0.24,70.103,0.835,-0.551,-8.819,22.593,13.773
0.25,70.055,0.808,-0.59,-8.053,24.173,16.12
0.26,70.006,0.778,-0.629,-7.288,25.752,18.464
0.27,69.955,0.745,-0.667,-6.53,27.32,20.79
0.28,69.903,0.709,-0.705,-5.784,28.865,23.081
0.29,69.849,0.67,-0.742,-5.057,30.375,25.318
0.3,69.794,0.628,-0.778,-4.355,31.837,27.482
0.31,69.738,0.583,-0.812,-3.684,33.239,29.555
0.32,69.68,0.536,-0.844,-3.051,34.568,31.517
0.33,69.621,0.485,-0.874,-2.462,35.811,33.349
0.34,69.562,0.432,-0.902,-1.924,36.956,35.032
0.35,69.501,0.376,-0.927,-1.442,37.99,36.548
0.36,69.439,0.318,-0.948,-1.022,38.902,37.881
0.37,69.377,0.259,-0.966,-0.668,39.683,39.015
0.38,69.314,0.197,-0.98,-0.386,40.324,39.937
0.39,69.25,0.135,-0.991,-0.179,40.815,40.636
0.4,69.186,0.071,-0.997,-0.05,41.153,41.103
0.41,69.122,0.007,-1,-0.001,41.332,41.332
0.42,69.058,-0.057,-0.998,-0.032,41.35,41.319
0.43,68.994,-0.121,-0.993,-0.144,41.207,41.063
0.44,68.929,-0.184,-0.983,-0.337,40.904,40.567
0.45,68.866,-0.247,-0.969,-0.608,40.444,39.836
0.46,68.802,-0.308,-0.951,-0.954,39.832,38.878
0.47,68.739,-0.367,-0.93,-1.372,39.075,37.703
0.48,68.676,-0.425,-0.905,-1.858,38.182,36.324
0.49,68.615,-0.48,-0.877,-2.407,37.162,34.755
0.5,68.554,-0.532,-0.846,-3.012,36.026,33.014
0.51,68.494,-0.582,-0.813,-3.669,34.787,31.118
0.52,68.435,-0.629,-0.777,-4.37,33.456,29.086
0.53,68.377,-0.673,-0.74,-5.109,32.048,26.939
0.54,68.32,-0.714,-0.7,-5.88,30.574,24.695
0.55,68.265,-0.751,-0.66,-6.675,29.049,22.375
0.56,68.211,-0.786,-0.618,-7.488,27.486,19.999
0.57,68.158,-0.817,-0.576,-8.312,25.897,17.585
0.58,68.108,-0.845,-0.534,-9.142,24.295,15.153
0.59,68.058,-0.871,-0.492,-9.973,22.691,12.719
0.6,68.011,-0.893,-0.45,-10.797,21.097,10.3
0.61,67.965,-0.913,-0.408,-11.611,19.521,7.91
0.62,67.921,-0.93,-0.367,-12.41,17.974,5.564
0.63,67.878,-0.945,-0.328,-13.19,16.463,3.274
0.64,67.838,-0.957,-0.289,-13.947,14.997,1.05
0.65,67.799,-0.968,-0.252,-14.678,13.58,-1.098
0.66,67.762,-0.976,-0.216,-15.381,12.219,-3.162
0.67,67.727,-0.983,-0.182,-16.053,10.919,-5.135
0.68,67.694,-0.989,-0.149,-16.693,9.683,-7.01
0.69,67.663,-0.993,-0.118,-17.298,8.515,-8.783
0.7,67.634,-0.996,-0.089,-17.867,7.418,-10.449
0.71,67.606,-0.998,-0.062,-18.4,6.393,-12.007
0.72,67.581,-0.999,-0.037,-18.895,5.442,-13.453
0.73,67.558,-1,-0.014,-19.353,4.567,-14.786
0.74,67.536,-1,0.008,-19.772,3.767,-16.005
0.75,67.517,-1,0.027,-20.153,3.045,-17.108
0.76,67.5,-0.999,0.045,-20.495,2.4,-18.095
0.77,67.484,-0.998,0.06,-20.798,1.831,-18.967
0.78,67.471,-0.997,0.074,-21.063,1.34,-19.724
0.79,67.459,-0.996,0.085,-21.29,0.925,-20.364
0.8,67.449,-0.996,0.095,-21.478,0.588,-20.89
0.81,67.442,-0.995,0.102,-21.627,0.326,-21.301
0.82,67.436,-0.994,0.108,-21.739,0.142,-21.597
0.83,67.432,-0.994,0.112,-21.812,0.033,-21.779
0.84,67.43,-0.994,0.114,-21.848,0,-21.847
0.85,67.431,-0.994,0.113,-21.845,0.044,-21.801
0.86,67.433,-0.994,0.111,-21.804,0.163,-21.641
0.87,67.437,-0.994,0.107,-21.725,0.358,-21.367
0.88,67.443,-0.995,0.101,-21.609,0.63,-20.978
0.89,67.451,-0.996,0.093,-21.454,0.978,-20.475
0.9,67.461,-0.996,0.084,-21.26,1.403,-19.857
0.91,67.472,-0.997,0.072,-21.029,1.905,-19.124
0.92,67.486,-0.998,0.058,-20.758,2.484,-18.275
0.93,67.502,-0.999,0.042,-20.45,3.14,-17.31
0.94,67.52,-1,0.025,-20.102,3.874,-16.228
0.95,67.539,-1,0.005,-19.716,4.685,-15.031
0.96,67.561,-1,-0.017,-19.291,5.574,-13.717
0.97,67.585,-0.999,-0.04,-18.828,6.54,-12.288
0.98,67.61,-0.998,-0.066,-18.327,7.583,-10.745
0.99,67.638,-0.996,-0.093,-17.789,8.701,-9.088
1,67.667,-0.992,-0.123,-17.213,9.893,-7.32
1.01,67.699,-0.988,-0.154,-16.602,11.158,-5.444
1.02,67.732,-0.982,-0.187,-15.956,12.493,-3.463
1.03,67.767,-0.975,-0.221,-15.278,13.896,-1.382
1.04,67.805,-0.966,-0.258,-14.568,15.362,0.794
1.05,67.844,-0.955,-0.295,-13.829,16.887,3.058
1.06,67.885,-0.943,-0.334,-13.063,18.466,5.403
1.07,67.928,-0.927,-0.374,-12.275,20.093,7.818
1.08,67.973,-0.91,-0.416,-11.467,21.761,10.294
1.09,68.019,-0.889,-0.458,-10.644,23.462,12.818
1.1,68.068,-0.866,-0.5,-9.81,25.187,15.377
1.11,68.118,-0.84,-0.543,-8.97,26.926,17.956
1.12,68.17,-0.811,-0.586,-8.129,28.667,20.538
1.13,68.223,-0.778,-0.628,-7.295,30.4,23.106
1.14,68.279,-0.742,-0.67,-6.472,32.112,25.64
1.15,68.335,-0.703,-0.711,-5.668,33.789,28.12
1.16,68.393,-0.661,-0.751,-4.891,35.416,30.526
1.17,68.453,-0.615,-0.789,-4.146,36.98,32.835
1.18,68.514,-0.566,-0.825,-3.441,38.467,35.025
1.19,68.576,-0.514,-0.858,-2.784,39.86,37.076
1.2,68.639,-0.458,-0.889,-2.182,41.147,38.964
1.21,68.703,-0.4,-0.916,-1.642,42.312,40.671
1.22,68.768,-0.34,-0.94,-1.169,43.344,42.175
1.23,68.834,-0.277,-0.961,-0.77,44.23,43.46
1.24,68.9,-0.213,-0.977,-0.45,44.959,44.509
1.25,68.967,-0.147,-0.989,-0.213,45.523,45.31
1.26,69.035,-0.08,-0.997,-0.063,45.915,45.852
1.27,69.103,-0.012,-1,-0.001,46.129,46.127
1.28,69.171,0.056,-0.998,-0.03,46.162,46.131
1.29,69.239,0.123,-0.992,-0.15,46.013,45.863
1.3,69.306,0.19,-0.982,-0.358,45.684,45.326
1.31,69.374,0.256,-0.967,-0.654,45.18,44.525
1.32,69.441,0.32,-0.947,-1.034,44.504,43.47
1.33,69.508,0.383,-0.924,-1.495,43.667,42.172
1.34,69.574,0.443,-0.897,-2.03,42.676,40.646
1.35,69.639,0.501,-0.866,-2.635,41.545,38.909
1.36,69.704,0.555,-0.832,-3.303,40.284,36.981
1.37,69.767,0.607,-0.795,-4.027,38.908,34.881
1.38,69.83,0.655,-0.755,-4.8,37.432,32.633
1.39,69.891,0.7,-0.714,-5.614,35.871,30.257
1.4,69.951,0.742,-0.671,-6.461,34.239,27.778
1.41,70.009,0.78,-0.626,-7.335,32.552,25.217
1.42,70.066,0.814,-0.581,-8.227,30.825,22.598
1.43,70.122,0.845,-0.535,-9.131,29.072,19.941
1.44,70.176,0.873,-0.488,-10.04,27.307,17.267
1.45,70.228,0.897,-0.442,-10.947,25.542,14.595
1.46,70.279,0.918,-0.396,-11.847,23.79,11.942
1.47,70.327,0.936,-0.351,-12.735,22.061,9.326
1.48,70.374,0.952,-0.307,-13.605,20.364,6.759
1.49,70.419,0.965,-0.263,-14.454,18.71,4.256
1.5,70.463,0.975,-0.221,-15.277,17.105,1.828
1.51,70.504,0.984,-0.181,-16.072,15.556,-0.516
1.52,70.543,0.99,-0.142,-16.836,14.068,-2.768
1.53,70.581,0.995,-0.105,-17.566,12.646,-4.92
1.54,70.617,0.998,-0.069,-18.261,11.294,-6.967
1.55,70.65,0.999,-0.036,-18.919,10.015,-8.904
1.56,70.682,1,-0.004,-19.54,8.81,-10.73
1.57,70.711,1,0.026,-20.122,7.682,-12.44
1.58,70.739,0.999,0.053,-20.666,6.632,-14.033
1.59,70.765,0.997,0.079,-21.17,5.66,-15.51
1.6,70.789,0.995,0.103,-21.635,4.767,-16.868
1.61,70.811,0.992,0.124,-22.06,3.952,-18.108
1.62,70.83,0.99,0.144,-22.447,3.215,-19.232
1.63,70.848,0.987,0.162,-22.794,2.556,-20.238
1.64,70.864,0.984,0.178,-23.103,1.974,-21.13
1.65,70.878,0.982,0.191,-23.374,1.468,-21.906
1.66,70.89,0.979,0.203,-23.607,1.038,-22.569
1.67,70.901,0.977,0.213,-23.803,0.684,-23.119
1.68,70.909,0.975,0.221,-23.961,0.403,-23.558
1.69,70.915,0.974,0.227,-24.083,0.197,-23.886
1.7,70.92,0.973,0.232,-24.168,0.064,-24.104
1.71,70.922,0.972,0.234,-24.216,0.004,-24.212
1.72,70.923,0.972,0.235,-24.227,0.017,-24.211
1.73,70.922,0.972,0.234,-24.203,0.102,-24.101
1.74,70.918,0.973,0.23,-24.142,0.261,-23.881
1.75,70.913,0.974,0.225,-24.044,0.492,-23.552
1.76,70.906,0.976,0.219,-23.91,0.796,-23.114
1.77,70.897,0.978,0.21,-23.739,1.175,-22.564
1.78,70.887,0.98,0.199,-23.531,1.627,-21.904
1.79,70.874,0.982,0.187,-23.285,2.154,-21.131
1.8,70.859,0.985,0.172,-23.002,2.757,-20.246
1.81,70.842,0.988,0.156,-22.681,3.435,-19.246
1.82,70.824,0.99,0.138,-22.321,4.19,-18.131
1.83,70.803,0.993,0.117,-21.923,5.023,-16.9
1.84,70.781,0.995,0.095,-21.486,5.933,-15.553
1.85,70.757,0.997,0.071,-21.009,6.921,-14.088
1.86,70.73,0.999,0.045,-20.494,7.988,-12.506
1.87,70.702,1,0.016,-19.94,9.132,-10.807
1.88,70.672,1,-0.014,-19.347,10.355,-8.992
1.89,70.64,0.999,-0.046,-18.716,11.653,-7.062
1.9,70.606,0.997,-0.08,-18.047,13.028,-5.02
1.91,70.57,0.993,-0.116,-17.343,14.475,-2.868
1.92,70.531,0.988,-0.154,-16.603,15.993,-0.611
1.93,70.491,0.981,-0.193,-15.831,17.577,1.747
1.94,70.45,0.972,-0.234,-15.027,19.225,4.198
1.95,70.406,0.961,-0.276,-14.195,20.93,6.735
1.96,70.36,0.947,-0.32,-13.339,22.687,9.348
1.97,70.312,0.931,-0.365,-12.461,24.488,12.027
1.98,70.263,0.912,-0.41,-11.566,26.324,14.758
1.99,70.212,0.89,-0.457,-10.659,28.187,17.528
