
Triangle,0,20
,20,0
Time,Sx,Sy,V,EdgeSx,EdgeSy,EdgeW,Ep,Ek,Ec
0,1.414,20.000,0.050,1.415, 21.000,0.050,196.198,0.001,196.200
0.01,1.415,19.999,0.099,1.416, 20.999,0.099,196.193,0.005,196.198
0.02,1.416,19.998,0.148,1.418, 20.998,0.148,196.185,0.011,196.196
0.03,1.417,19.997,0.198,1.421, 20.997,0.198,196.173,0.020,196.192
0.04,1.419,19.996,0.247,1.425, 20.996,0.247,196.157,0.031,196.188
0.05,1.421,19.994,0.296,1.429, 20.994,0.296,196.138,0.044,196.182
0.06,1.423,19.991,0.346,1.435, 20.991,0.346,196.116,0.060,196.176
0.07,1.425,19.989,0.395,1.441, 20.989,0.395,196.090,0.078,196.168
0.08,1.428,19.986,0.444,1.448, 20.986,0.444,196.061,0.099,196.160
0.09,1.432,19.983,0.493,1.456, 20.982,0.493,196.029,0.122,196.150
0.10,1.435,19.979,0.542,1.465, 20.978,0.542,195.993,0.147,196.140
0.11,1.439,19.975,0.591,1.475, 20.974,0.591,195.954,0.175,196.128
0.12,1.444,19.971,0.640,1.485, 20.970,0.640,195.911,0.205,196.116
0.13,1.448,19.966,0.689,1.497, 20.965,0.689,195.865,0.237,196.102
0.14,1.453,19.961,0.738,1.509, 20.959,0.738,195.815,0.272,196.087
0.15,1.459,19.955,0.786,1.522, 20.953,0.786,195.762,0.309,196.072
0.16,1.465,19.950,0.835,1.536, 20.947,0.835,195.706,0.349,196.055
0.17,1.471,19.944,0.884,1.550, 20.940,0.884,195.647,0.391,196.037
0.18,1.477,19.937,0.933,1.566, 20.933,0.933,195.584,0.435,196.018
0.19,1.484,19.930,0.981,1.582, 20.926,0.981,195.517,0.481,195.998
0.20,1.491,19.923,1.030,1.599, 20.917,1.030,195.447,0.530,195.978
0.21,1.498,19.916,1.078,1.617, 20.909,1.078,195.374,0.581,195.956
0.22,1.506,19.908,1.127,1.636, 20.900,1.127,195.298,0.635,195.932
0.23,1.514,19.900,1.175,1.655, 20.890,1.175,195.218,0.690,195.908
0.24,1.523,19.891,1.223,1.676, 20.880,1.223,195.135,0.748,195.883
0.25,1.532,19.883,1.272,1.697, 20.869,1.272,195.048,0.809,195.857
0.26,1.541,19.873,1.320,1.719, 20.857,1.320,194.958,0.871,195.829
0.27,1.550,19.864,1.368,1.742, 20.845,1.368,194.865,0.936,195.801
0.28,1.560,19.854,1.416,1.765, 20.833,1.416,194.769,1.003,195.771
0.29,1.570,19.844,1.464,1.789, 20.820,1.464,194.669,1.072,195.741
0.30,1.581,19.833,1.512,1.814, 20.806,1.512,194.565,1.144,195.709
0.31,1.592,19.823,1.560,1.840, 20.791,1.560,194.459,1.217,195.676
0.32,1.603,19.811,1.608,1.867, 20.776,1.608,194.349,1.293,195.642
0.33,1.614,19.800,1.656,1.894, 20.760,1.656,194.236,1.372,195.607
0.34,1.626,19.788,1.704,1.922, 20.743,1.704,194.119,1.452,195.571
0.35,1.639,19.776,1.752,1.951, 20.726,1.752,193.999,1.535,195.534
0.36,1.651,19.763,1.800,1.980, 20.708,1.800,193.876,1.620,195.496
0.37,1.664,19.750,1.847,2.010, 20.688,1.847,193.750,1.707,195.456
0.38,1.677,19.737,1.895,2.041, 20.669,1.895,193.620,1.796,195.416
0.39,1.691,19.723,1.943,2.072, 20.648,1.943,193.487,1.887,195.374
0.40,1.705,19.710,1.990,2.104, 20.626,1.990,193.350,1.981,195.331
0.41,1.719,19.695,2.038,2.137, 20.604,2.038,193.211,2.077,195.287
0.42,1.734,19.681,2.085,2.170, 20.580,2.085,193.068,2.174,195.242
0.43,1.748,19.666,2.133,2.204, 20.556,2.133,192.921,2.275,195.196
0.44,1.764,19.651,2.180,2.238, 20.531,2.180,192.772,2.377,195.148
0.45,1.779,19.635,2.228,2.273, 20.505,2.228,192.619,2.481,195.100
0.46,1.795,19.619,2.275,2.308, 20.477,2.275,192.463,2.588,195.050
0.47,1.811,19.603,2.322,2.344, 20.449,2.322,192.303,2.696,194.999
0.48,1.828,19.586,2.369,2.380, 20.420,2.369,192.140,2.807,194.947
0.49,1.845,19.569,2.416,2.417, 20.389,2.416,191.974,2.920,194.894
0.50,1.862,19.552,2.464,2.454, 20.358,2.464,191.805,3.035,194.840
0.51,1.880,19.534,2.511,2.492, 20.325,2.511,191.633,3.152,194.784
0.52,1.898,19.516,2.558,2.529, 20.292,2.558,191.457,3.271,194.728
0.53,1.916,19.498,2.605,2.567, 20.257,2.605,191.278,3.392,194.670
0.54,1.935,19.480,2.652,2.606, 20.221,2.652,191.096,3.515,194.611
0.55,1.953,19.461,2.698,2.644, 20.184,2.698,190.910,3.641,194.551
0.56,1.973,19.442,2.745,2.683, 20.145,2.745,190.721,3.768,194.489
0.57,1.992,19.422,2.792,2.722, 20.106,2.792,190.529,3.898,194.427
0.58,2.012,19.402,2.839,2.761, 20.065,2.839,190.334,4.029,194.363
0.59,2.032,19.382,2.885,2.800, 20.023,2.885,190.135,4.163,194.298
0.60,2.053,19.361,2.932,2.838, 19.980,2.932,189.933,4.299,194.232
0.61,2.074,19.340,2.979,2.877, 19.936,2.979,189.728,4.436,194.165
0.62,2.095,19.319,3.025,2.916, 19.890,3.025,189.520,4.576,194.096
0.63,2.117,19.298,3.072,2.955, 19.843,3.072,189.309,4.718,194.027
0.64,2.139,19.276,3.118,2.993, 19.795,3.118,189.094,4.862,193.956
0.65,2.161,19.253,3.165,3.031, 19.746,3.165,188.876,5.007,193.883
0.66,2.183,19.231,3.211,3.069, 19.695,3.211,188.655,5.155,193.810
0.67,2.206,19.208,3.257,3.106, 19.644,3.257,188.431,5.305,193.736
0.68,2.229,19.185,3.304,3.143, 19.591,3.304,188.203,5.457,193.660
0.69,2.253,19.161,3.350,3.180, 19.537,3.350,187.972,5.610,193.583
