Time,0,1,2,3,4,5,6,7,8,9,10,
0,0,0.485,0.923,1.271,1.494,1.571,1.494,1.271,0.923,0.485,0,
0.3,0,0.464,0.882,1.214,1.427,1.501,1.427,1.214,0.882,0.464,0,
0.6,0,0.4,0.76,1.046,1.23,1.293,1.23,1.046,0.76,0.4,0,
0.9,0,0.299,0.569,0.783,0.92,0.968,0.92,0.783,0.569,0.299,0,
1.2,0,0.171,0.325,0.448,0.526,0.553,0.526,0.448,0.325,0.171,0,
1.5,0,0.027,0.051,0.071,0.083,0.087,0.083,0.071,0.051,0.027,0,
1.8,0,-0.12,-0.228,-0.313,-0.369,-0.387,-0.369,-0.313,-0.228,-0.12,0,
2.1,0,-0.256,-0.487,-0.67,-0.787,-0.828,-0.787,-0.67,-0.487,-0.256,0,
2.4,0,-0.369,-0.702,-0.966,-1.135,-1.194,-1.135,-0.966,-0.702,-0.369,0,
2.7,0,-0.448,-0.853,-1.174,-1.38,-1.451,-1.38,-1.174,-0.853,-0.448,0,
3,0,-0.487,-0.927,-1.276,-1.5,-1.577,-1.5,-1.276,-0.927,-0.487,0,
3.3,0,-0.482,-0.916,-1.261,-1.482,-1.559,-1.482,-1.261,-0.916,-0.482,0,
3.6,0,-0.432,-0.822,-1.131,-1.33,-1.398,-1.33,-1.131,-0.822,-0.432,0,
3.9,0,-0.343,-0.653,-0.898,-1.056,-1.11,-1.056,-0.898,-0.653,-0.343,0,
4.2,0,-0.223,-0.423,-0.583,-0.685,-0.72,-0.685,-0.583,-0.423,-0.223,0,
4.5,0,-0.081,-0.155,-0.213,-0.251,-0.264,-0.251,-0.213,-0.155,-0.081,0,
4.8,0,0.067,0.128,0.176,0.207,0.218,0.207,0.176,0.128,0.067,0,
5.1,0,0.21,0.4,0.551,0.647,0.681,0.647,0.551,0.4,0.21,0,
5.4,0,0.334,0.636,0.875,1.029,1.082,1.029,0.875,0.636,0.334,0,
5.7,0,0.428,0.814,1.121,1.318,1.386,1.318,1.121,0.814,0.428,0,
6,0,0.483,0.919,1.265,1.487,1.563,1.487,1.265,0.919,0.483,0,
